NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,인천광역시 남동구 구월동,1554,1554,0,구월아시아드선수촌8단지,74.91,202607,21,"43,100",-,4,개인,개인,2015,선수촌로 8,-,중개거래,인천 남동구,-
2,부산광역시 동래구 온천동,1850,1850,0,동래3차SKVIEW,84.881,202607,21,"59,000",-,32,개인,개인,2021,온천장로65번길 9,-,중개거래,부산 동래구,-
3,인천광역시 연수구 송도동,308-1,308,1,더샵송도마리나베이,84.202,202607,21,"62,500",-,12,개인,개인,2020,랜드마크로 160,-,중개거래,인천 연수구,-
4,부산광역시 동래구 온천동,1853,1853,0,동래래미안아이파크,114.9122,202607,21,"148,000",-,14,개인,개인,2022,금정마을로 150,-,중개거래,부산 동래구,-
5,부산광역시 남구 우암동,101-1,101,1,우암중앙하이츠아파트,84.5909,202607,21,"26,000",-,4,개인,개인,2004,유엔로 46,-,중개거래,부산 남구,-
6,부산광역시 금정구 구서동,415-3,415,3,구서시티타워,110.777,202607,21,"36,000",-,12,개인,개인,2005,금정로233번길 31,-,중개거래,부산 금정구,-
7,부산광역시 금정구 구서동,267,267,0,경보,84.75,202607,21,"21,500",-,20,개인,개인,1996,금단로 33,-,중개거래,부산 금정구,-
8,울산광역시 남구 신정동,899-1,899,1,한라무지개,59.595,202607,21,"15,300",-,5,개인,개인,1993,두왕로272번길 17-14,-,중개거래,울산 남구,-
9,부산광역시 동래구 사직동,1017,1017,0,사직쌍용예가,84.965,202607,21,"54,000",-,8,개인,개인,2006,사직로 80,-,중개거래,부산 동래구,-
10,부산광역시 강서구 명지동,3594,3594,0,더샵명지퍼스트월드2단지,84.9584,202607,21,"55,200",-,15,개인,개인,2020,명지국제7로 37,-,중개거래,부산 강서구,-
11,대전광역시 유성구 관평동,672,672,0,운암네오미아,84.45,202607,21,"49,400",-,10,개인,개인,2006,배울2로 78,-,중개거래,대전 유성구,-
12,울산광역시 울주군 언양읍 서부리,401,401,0,두산위브,120.985,202607,21,"38,700",-,6,개인,개인,2009,헌양길 202,-,중개거래,울산 남구,-
13,대전광역시 서구 탄방동,781,781,0,수팰리스,48.7312,202607,21,"21,000",-,9,개인,개인,2018,탄방로 26,-,중개거래,대전 서구,-
14,부산광역시 강서구 명지동,3343,3343,0,명지2차금강펜테리움센트럴파크,84.2513,202607,21,"47,000",-,29,개인,개인,2016,명지국제5로 109,-,중개거래,부산 강서구,-
15,부산광역시 해운대구 우동,977,977,0,대우마리나3,101.72,202607,21,"122,000",-,6,개인,개인,1994,해운대해변로 115,-,중개거래,부산 해운대구,-
16,인천광역시 계양구 박촌동,309,309,0,풍림,84.987,202607,21,"34,500",-,13,개인,개인,2005,동양로 11,-,중개거래,인천 계양구,-
17,전남광주통합특별시 광양시 중동,1665,1665,0,성호2차(206~215동),59.79,202607,21,"6,400",-,21,개인,개인,2007,광장로 70,-,중개거래,전남광주 광양시,-
18,부산광역시 부산진구 연지동,406,406,0,연지자이2차,59.9074,202607,21,"42,500",-,12,개인,개인,2011,초연로 11,-,중개거래,부산 부산진구,-
19,전남광주통합특별시 서구 금호동,818,818,0,부영(마재마을),80.1864,202607,21,"23,800",-,8,개인,개인,2000,화개1로24번길 10,-,중개거래,전남광주 서구,-
20,전남광주통합특별시 광산구 도산동,840-1,840,1,호반청암빌라트,49.65,202607,21,"4,700",-,7,법인,개인,1993,도산로12번길 17-25,-,중개거래,전남광주 광산구,-
21,울산광역시 울주군 범서읍 천상리,259-5,259,5,천상극동,84.84,202607,21,"17,400",-,2,개인,개인,1998,대동길 50,-,중개거래,울산 울주군,-
22,부산광역시 사상구 학장동,173-16,173,16,구덕극동,84.92,202607,21,"11,500",-,2,개인,개인,1996,학감대로 62,-,중개거래,부산 사상구,-
23,대전광역시 서구 도안동,1564,1564,0,도안18단지린풀하우스,84.9938,202607,21,"55,000",-,31,개인,개인,2014,도안동로 77,-,중개거래,대전 서구,-
24,대전광역시 대덕구 목상동,185-2,185,2,다사랑,49.86,202607,21,"11,500",-,4,개인,법인,1993,대덕대로1470번길 55,-,직거래,-,-
25,인천광역시 부평구 산곡동,519,519,0,쌍용더플래티넘부평,59.96,202607,21,"49,700",-,6,개인,개인,2022,원적로287번길 25,-,중개거래,인천 부평구,-
26,인천광역시 부평구 청천동,259,259,0,쌍용,56.25,202607,21,"23,500",-,2,개인,개인,1990,길주로494번길 12,-,중개거래,인천 부평구,-
27,대구광역시 수성구 지산동,1288,1288,0,지산타운,39.68,202607,21,"11,000",-,10,개인,개인,1991,용학로 303,-,직거래,-,-
28,전남광주통합특별시 북구 각화동,591,591,0,휴먼파크서희스타힐스,84.745,202607,21,"34,500",-,33,개인,개인,2017,군왕로 311,-,중개거래,전남광주 북구,-
29,울산광역시 남구 달동,1403-1,1403,1,현대하이얏트,59.707,202607,21,"20,000",-,7,개인,개인,1994,신정로33번길 36,-,직거래,-,-
30,인천광역시 남동구 구월동,1485,1485,0,구월아시아드선수촌2단지,59.57,202607,21,"39,000",-,5,개인,개인,2015,선수촌공원로 96,-,중개거래,인천 남동구,-
31,대전광역시 동구 천동,540,540,0,위드힐,84.98,202607,21,"32,000",-,1,개인,개인,2013,대전로542번길 121,-,중개거래,대전 동구,-
32,세종특별자치시  소담동,598,598,0,새샘마을5단지(한양수자인엘시티),59.4544,202607,21,"39,000",-,18,개인,개인,2017,남세종로 301,-,중개거래,세종,-
33,전남광주통합특별시 북구 동림동,1161-1,1161,1,동림푸른주공4,65.68,202607,21,"14,800",-,4,개인,개인,1998,동림용산로 12,-,중개거래,전남광주 북구,-
34,전남광주통합특별시 광산구 신창동,1118,1118,0,신창3차호반베르디움,84.8581,202607,21,"32,500",-,13,개인,개인,2005,신창로161번길 19,-,중개거래,전남광주 광산구,-
35,인천광역시 영종구 운남동,1598-1,1598,1,운서SKVIEWskycityⅡ,78.7739,202607,21,"42,000",-,14,개인,개인,2022,흰바위로 249,-,중개거래,인천 영종구,-
36,경기도 수원시 권선구 권선동,1185-1,1185,1,권선삼성,49.14,202607,21,"31,000",-,10,개인,개인,1993,경수대로302번길 29,-,중개거래,경기 수원시 권선구,-
37,울산광역시 동구 화정동,136,136,0,대송현대목재,66.44,202607,21,"12,000",-,7,개인,개인,1990,대송4길 5,-,중개거래,울산 동구,-
38,인천광역시 영종구 운남동,1598-1,1598,1,운서SKVIEWskycityⅡ,84.9126,202607,21,"43,750",-,10,개인,개인,2022,흰바위로 249,-,중개거래,인천 영종구,-
39,전남광주통합특별시 광산구 신창동,1285,1285,0,광주신창동대광로제비앙아파트,73.9152,202607,21,"31,800",-,7,개인,개인,2016,장신로 306,-,중개거래,"전남광주 광산구, 전남광주 순천시",-
40,인천광역시 계양구 효성동,220-3,220,3,성지,84.56,202607,21,"23,900",-,3,개인,개인,1993,새벌로 89,-,중개거래,인천 계양구,-
